Crop,Production,Year
Peanut,1022000.0,1961
Peanut,1022000.0,1962
Peanut,1084500.0,1963
Peanut,1019000.0,1964
Peanut,1121000.0,1965
Peanut,1000000.0,1966
Peanut,1008610.0,1967
Peanut,836800.0,1968
Peanut,796100.0,1969
Peanut,589950.0,1970
Peanut,997120.0,1971
Peanut,586900.0,1972
Peanut,692779.0,1973
Peanut,980200.0,1974
Peanut,1444093.0,1975
Peanut,1231500.0,1976
Peanut,518956.0,1977
Peanut,1061082.0,1978
Peanut,676000.0,1979
Peanut,523003.0,1980
Peanut,872319.0,1981
Peanut,1004023.0,1982
Peanut,549000.0,1983
Peanut,503770.0,1984
Peanut,601246.0,1985
Peanut,842564.0,1986
Peanut,963123.0,1987
Peanut,722898.0,1988
Peanut,844225.0,1989
Peanut,702584.0,1990
Peanut,724416.0,1991
Peanut,578498.0,1992
Peanut,627633.0,1993
Peanut,678040.0,1994
Peanut,790617.0,1995
Peanut,646394.0,1996
Peanut,544825.0,1997
Peanut,579067.0,1998
Peanut,1014250.0,1999
Peanut,1061540.0,2000
Peanut,887356.0,2001
Peanut,260723.0,2002
Peanut,440709.0,2003
Peanut,602621.0,2004
Peanut,703373.0,2005
Peanut,460481.0,2006
Peanut,331195.0,2007
Peanut,731210.0,2008
Peanut,1032651.0,2009
Peanut,1286855.5,2010
Peanut,527528.0,2011
Peanut,692572.0,2012
Peanut,677456.0,2013
Peanut,669329.0,2014
Peanut,1050042.0,2015
Peanut,719000.0,2016
Peanut,1405223.0,2017
Peanut,1500588.37,2018
Peanut,1421288.11,2019
Peanut,1797486.11,2020
Peanut,1677803.56,2021
Peanut,1501498.0,2022
Corn,28313.0,1961
Corn,27000.0,1962
Corn,27000.0,1963
Corn,37000.0,1964
Corn,40793.0,1965
Corn,41812.0,1966
Corn,56800.0,1967
Corn,25300.0,1968
Corn,48840.0,1969
Corn,38747.0,1970
Corn,38503.0,1971
Corn,20200.0,1972
Corn,33800.0,1973
Corn,43293.0,1974
Corn,48900.0,1975
Corn,52800.0,1976
Corn,56407.0,1977
Corn,54048.0,1978
Corn,46293.0,1979
Corn,56777.0,1980
Corn,94825.0,1981
Corn,76259.0,1982
Corn,60594.0,1983
Corn,98450.0,1984
Corn,146934.0,1985
Corn,107883.0,1986
Corn,113625.0,1987
Corn,123327.0,1988
Corn,131407.0,1989
Corn,133147.0,1990
Corn,102633.0,1991
Corn,114564.0,1992
Corn,138318.0,1993
Corn,108233.0,1994
Corn,106509.0,1995
Corn,88634.0,1996
Corn,80281.0,1997
Corn,44339.0,1998
Corn,66132.0,1999
Corn,78593.0,2000
Corn,108546.0,2001
Corn,80372.0,2002
Corn,400907.0,2003
Corn,400555.0,2004
Corn,399958.0,2005
Corn,181585.0,2006
Corn,158266.0,2007
Corn,397326.0,2008
Corn,291301.0,2009
Corn,186511.03,2010
Corn,124092.0,2011
Corn,228422.65,2012
Corn,225902.0,2013
Corn,178732.0,2014
Corn,304296.0,2015
Corn,400462.0,2016
Corn,410364.0,2017
Corn,485672.51,2018
Corn,530704.97,2019
Corn,761883.04,2020
Corn,754620.83,2021
Corn,787750.0,2022
Millet,334300.0,1961
Millet,348700.0,1962
Millet,392700.0,1963
Millet,436800.0,1964
Millet,454000.0,1965
Millet,345100.0,1966
Millet,533700.0,1967
Millet,366900.0,1968
Millet,517400.0,1969
Millet,326700.0,1970
Millet,474900.0,1971
Millet,263100.0,1972
Millet,416300.0,1973
Millet,647900.0,1974
Millet,506100.0,1975
Millet,455100.0,1976
Millet,342400.0,1977
Millet,654700.0,1978
Millet,424000.0,1979
Millet,451000.0,1980
Millet,790000.0,1981
Millet,476900.0,1982
Millet,287000.0,1983
Millet,381000.0,1984
Millet,768000.0,1985
Millet,502060.0,1986
Millet,690103.0,1987
Millet,484638.0,1988
Millet,638883.0,1989
Millet,504801.0,1990
Millet,670607.0,1991
Millet,562706.0,1992
Millet,752616.0,1993
Millet,670843.0,1994
Millet,794133.0,1995
Millet,601359.0,1996
Millet,426481.0,1997
Millet,441418.0,1998
Millet,675000.0,1999
Millet,600221.0,2000
Millet,556655.0,2001
Millet,414820.0,2002
Millet,628426.0,2003
Millet,323752.0,2004
Millet,608551.0,2005
Millet,494345.0,2006
Millet,318822.0,2007
Millet,678171.0,2008
Millet,810121.0,2009
Millet,813295.0,2010
Millet,480759.0,2011
Millet,662614.0,2012
Millet,515365.0,2013
Millet,408993.0,2014
Millet,749874.0,2015
Millet,698643.0,2016
Millet,875484.0,2017
Millet,897574.18,2018
Millet,807044.07,2019
Millet,1144854.92,2020
Millet,1039859.75,2021
Millet,1097033.0,2022
Rice,83100.0,1961
Rice,77000.0,1962
Rice,106000.0,1963
Rice,110000.0,1964
Rice,122275.0,1965
Rice,125338.0,1966
Rice,137500.0,1967
Rice,58300.0,1968
Rice,155900.0,1969
Rice,90500.0,1970
Rice,108200.0,1971
Rice,36700.0,1972
Rice,64340.0,1973
Rice,116975.0,1974
Rice,115707.0,1975
Rice,115200.0,1976
Rice,62918.0,1977
Rice,147045.0,1978
Rice,96567.0,1979
Rice,64658.0,1980
Rice,127032.0,1981
Rice,118571.0,1982
Rice,108540.0,1983
Rice,135828.0,1984
Rice,147005.0,1985
Rice,142792.0,1986
Rice,135793.0,1987
Rice,146405.0,1988
Rice,168227.0,1989
Rice,181119.0,1990
Rice,169800.0,1991
Rice,177346.0,1992
Rice,193374.0,1993
Rice,162228.0,1994
Rice,155152.0,1995
Rice,148780.0,1996
Rice,173702.0,1997
Rice,123519.0,1998
Rice,364000.0,1999
Rice,202293.0,2000
Rice,206989.0,2001
Rice,172395.0,2002
Rice,231805.0,2003
Rice,201744.0,2004
Rice,279080.0,2005
Rice,190493.0,2006
Rice,193379.0,2007
Rice,408219.0,2008
Rice,502104.0,2009
Rice,604043.3,2010
Rice,405824.0,2011
Rice,469649.0,2012
Rice,436153.0,2013
Rice,559021.0,2014
Rice,906348.0,2015
Rice,950779.0,2016
Rice,1011269.0,2017
Rice,1206587.27,2018
Rice,1155730.28,2019
Rice,1349723.01,2020
Rice,1382119.93,2021
Rice,1409120.0,2022
Sorghum,75900.0,1961
Sorghum,79100.0,1962
Sorghum,89100.0,1963
Sorghum,99200.0,1964
Sorghum,103100.0,1965
Sorghum,78300.0,1966
Sorghum,121200.0,1967
Sorghum,83300.0,1968
Sorghum,117400.0,1969
Sorghum,74200.0,1970
Sorghum,107800.0,1971
Sorghum,59700.0,1972
Sorghum,94500.0,1973
Sorghum,147100.0,1974
Sorghum,114900.0,1975
Sorghum,103300.0,1976
Sorghum,77700.0,1977
Sorghum,148600.0,1978
Sorghum,96000.0,1979
Sorghum,102000.0,1980
Sorghum,196000.0,1981
Sorghum,108300.0,1982
Sorghum,65000.0,1983
Sorghum,90000.0,1984
Sorghum,182000.0,1985
Sorghum,131666.0,1986
Sorghum,111186.0,1987
Sorghum,109562.0,1988
Sorghum,126868.0,1989
Sorghum,157323.0,1990
Sorghum,78094.0,1991
Sorghum,116739.0,1992
Sorghum,99073.0,1993
Sorghum,123092.0,1994
Sorghum,127328.0,1995
Sorghum,133009.0,1996
Sorghum,118297.0,1997
Sorghum,119574.0,1998
Sorghum,147444.0,1999
Sorghum,143750.0,2000
Sorghum,149649.0,2001
Sorghum,116929.0,2002
Sorghum,189787.0,2003
Sorghum,126492.0,2004
Sorghum,143989.0,2005
Sorghum,121003.0,2006
Sorghum,100704.0,2007
Sorghum,251515.0,2008
Sorghum,224956.0,2009
Sorghum,162598.88,2010
Sorghum,86865.0,2011
Sorghum,137574.0,2012
Sorghum,92029.0,2013
Sorghum,102323.0,2014
Sorghum,188500.0,2015
Sorghum,193452.0,2016
Sorghum,215491.0,2017
Sorghum,295463.11,2018
Sorghum,270168.31,2019
Sorghum,377322.86,2020
Sorghum,352474.34,2021
Sorghum,363164.0,2022
Peanut,1728000.0,2023
Corn,929000.0,2023
Millet,1353000.0,2023
Rice,1521000.0,2023
Sorghum,445000.0,2023
Peanut,1728000.0,2024
Corn,929000.0,2024
Millet,1353000.0,2024
Rice,1521000.0,2024
Sorghum,445000.0,2024
